Date,Open,High,Low,Close,Volume,Adj Close
2016-09-02,63.279999,63.349998,61.82,62.529999,8073900,62.529999
2016-09-01,61.389999,63.380001,61.34,63.150002,10712300,63.150002
2016-08-31,61.75,61.919998,61.16,61.34,9713600,61.34
2016-08-30,61.91,62.240002,61.459999,61.630001,7138600,61.630001
2016-08-29,62.279999,62.529999,61.889999,61.990002,6866300,61.990002
2016-08-26,61.689999,62.380001,61.200001,62.029999,7500600,62.029999
2016-08-25,61.959999,61.990002,60.759998,61.529999,10150800,61.529999
2016-08-24,63.130001,63.16,61.650002,61.939999,7461200,61.939999
2016-08-23,63.040001,63.32,62.73,62.91,8494100,62.91
2016-08-22,62.450001,62.610001,61.709999,62.52,6118700,62.405001
2016-08-19,62.07,62.73,61.799999,62.259998,7289000,62.145477
2016-08-18,61.060001,62.200001,60.82,62.099998,8292100,61.985772
2016-08-17,62.599998,62.740002,60.66,61.150002,14880300,61.037522
2016-08-16,62.889999,62.990002,62.41,62.599998,7191300,62.484852
2016-08-15,63.110001,63.50,62.130001,62.98,14332600,62.864154
2016-08-12,61.900002,63.380001,60.630001,63.040001,35643600,62.924045
2016-08-11,58.82,59.950001,58.700001,59.700001,17026600,59.590189
2016-08-10,59.41,59.50,58.32,58.509998,9393500,58.402375
2016-08-09,59.029999,59.459999,58.740002,58.889999,9308600,58.781677
2016-08-08,59.00,59.139999,58.119999,58.740002,7626600,58.631955
2016-08-05,57.889999,58.23,57.610001,58.200001,9289700,58.092948
