Date,Open,High,Low,Close,Volume
20/07/2016,39.44,40.45,39.12,40.05,11170400
19/07/2016,38.970001,39.465,38.830002,39.369999,8111900
18/07/2016,39.130001,39.220001,38.73,38.919998,7870000
15/07/2016,40.02,40.07,38.98,39.09,8138000
14/07/2016,39.689999,40.07,39.400002,39.959999,9681000
13/07/2016,38.84,39.990002,38.830002,39.279999,12456900
12/07/2016,38.470001,38.91,38.240002,38.790001,9997200
11/07/2016,37.450001,38.330002,37.400002,38.150002,10094800
08/07/2016,36.779999,37.459999,36.66,37.360001,6828600
07/07/2016,35.919998,36.389999,35.84,36.32,7326700
06/07/2016,35.939999,36.169998,35.715,35.93,7812600
05/07/2016,36.299999,36.360001,35.869999,36.119999,5238300
01/07/2016,36.599998,36.669998,36.25,36.349998,7260400
