Date,Open,High,Low,Close,Volume
01/06/2016,23.43,24.040001,23.42,23.690001,43500
02/06/2016,23.719999,23.83,23.059999,23.34,28600
03/06/2016,23.33,23.84,23.200001,23.639999,30900
06/06/2016,23.83,24.49,23.32,24.24,33700
07/06/2016,24.309999,24.32,24.07,24.190001,27700
08/06/2016,24.309999,24.41,24.15,24.309999,26500
09/06/2016,24.24,24.969999,24.040001,24.76,29300
10/06/2016,24.67,24.67,24.41,24.5,12700
13/06/2016,24.41,24.41,24.15,24.56,15300
14/06/2016,24.200001,24.219999,23.76,24.91,21300
15/06/2016,23.950001,24.1,23.719999,25.08,16700
16/06/2016,23.84,24,23.6,25.06,17700
17/06/2016,23.84,24.190001,23.58,25.13,15300
20/06/2016,24.41,24.41,24.030001,25.18,22700
21/06/2016,24.09,24.190001,23.870001,25.04,22600
22/06/2016,24.040001,24.49,24.040001,25.08,35300
23/06/2016,24.17,24.389999,24.049999,25.38,13200
24/06/2016,23.42,24.01,23.190001,25.5,42400
27/06/2016,23.809999,24.360001,23.809999,25.23,29300
28/06/2016,24.35,24.5,23.889999,25.89,21200
29/06/2016,24.24,24.469999,23.77,25.99,25200
30/06/2016,24.01,24.450001,24.01,26,35500
