Date,Open,High,Low,Close,Volume,Adj Close
1,22.49,22.540001,21.469999,22.030001,29638600,22.030001
2,21.440001,21.67,21.030001,21.040001,17479100,21.040001
3,20.450001,21.02,19.549999,20.35,30885800,20.35
4,20.1,22.129999,20.02,21.32,35536900,21.32
5,20.82,21.35,20.26,21.1,22675200,21.1
6,21.129999,21.65,20.41,20.700001,23936800,20.700001
7,20.26,20.379999,19.85,20.040001,18244700,20.040001
8,20.84,21.68,20.82,21.450001,24264500,21.450001
9,21.27,22.4,20.139999,20.309999,32795700,20.309999
10,20.459999,20.77,19.6,19.610001,22287100,19.610001
11,20.030001,20.4,19.6,19.75,22917100,19.75
12,20.02,20.549999,19.75,19.91,30325100,19.91
13,19.620001,19.879999,19.379999,19.809999,21308300,19.809999
14,19.98,21.120001,19.9,20.67,30139200,20.67
15,21.389999,21.469999,20.209999,20.67,28348400,20.67
16,20.35,22.209999,19.25,20.83,65105300,20.83
17,20.690001,20.700001,19.74,19.99,22563600,19.99
18,19.809999,20.34,19.52,19.65,23701800,19.65
19,19.780001,20.870001,19.59,19.85,30944600,19.85
20,19.65,20.700001,19.5,19.629999,31047200,19.629999
21,18.87,19.03,18.24,18.27,29555900,18.27
