Date,Open,High,Low,Close,Volume
04/01/2016,32.93,34.830002,31.75,31.959999,43193800
05/01/2016,30.65,32.59,29.530001,30.129999,31845800
06/01/2016,34.09,34.110001,31.73,31.93,36212800
07/01/2016,36.23,39.860001,34.540001,38.84,47121100
08/01/2016,35.84,43.970001,35.029999,42.82,48305600
11/01/2016,41.720001,49.439999,39.119999,39.900002,53809400
12/01/2016,36.610001,41.34,35.919998,36.169998,41445500
13/01/2016,34.720001,44.900002,34.540001,43.459999,46156100
14/01/2016,42.59,46.709999,38,40.060001,40264000
15/01/2016,49.200001,51.389999,45.799999,48.150002,36174700
19/01/2016,44.650002,52.799999,44.540001,48.360001,40384100
20/01/2016,51.389999,59,48.549999,50.639999,46259000
21/01/2016,49.650002,54.689999,46.880001,50.34,38627300
22/01/2016,45.650002,46.68,41.75,41.860001,20662600
25/01/2016,42.939999,46.34,41.57,45.939999,20206500
26/01/2016,44.66,45.830002,41.439999,41.57,22988900
27/01/2016,42.599998,46.220001,39.799999,45.02,33493200
28/01/2016,42.02,45.950001,41.310001,42.009998,28681400
29/01/2016,41.349998,41.82,38.23,38.470001,26947200
01/02/2016,38.860001,40.130001,36.630001,37.540001,25751800
02/02/2016,39.91,43.150002,39.77,42.43,28376300
03/02/2016,41.099998,47.330002,41.040001,41.560001,38793500
04/02/2016,42.509998,43.529999,40.34,42.299999,27803500
05/02/2016,42.16,47.099998,42.060001,45.599998,31395100
08/02/2016,49.080002,53.869999,48.18,50.060001,30287600
09/02/2016,54.029999,54.459999,48.900002,50.849998,33613700
10/02/2016,48.970001,51.889999,47.189999,51.779999,28126400
11/02/2016,58.73,61.919998,55.57,58.040001,40284600
12/02/2016,54.66,57.310001,52.959999,53.259998,29676000
16/02/2016,49.720001,51.369999,47.98,48.360001,27074400
17/02/2016,45.98,46.98,44.040001,44.599998,14933500
18/02/2016,43.939999,45.779999,42.919998,44.27,25455400
19/02/2016,45.830002,46.610001,41.84,41.950001,27261200
22/02/2016,39.560001,39.849998,37.110001,37.23,19819800
23/02/2016,38.220001,41.299999,37.650002,40.950001,19383400
24/02/2016,44.369999,45.799999,40,40.400002,36472600
25/02/2016,39.740002,41.34,37.549999,37.619999,24690900
26/02/2016,36.389999,39.349998,36,38.610001,29113700
29/02/2016,38.259998,39.950001,36.200001,39.740002,22869500
01/03/2016,37.939999,38.75,32.900002,32.950001,22835300
02/03/2016,33.07,34.060001,31.620001,31.690001,16066800
03/03/2016,32.029999,32.509998,29.01,29.58,25483900
04/03/2016,28.620001,30.92,28.309999,30.25,25086500
07/03/2016,31.469999,31.75,29,30.379999,24820000
08/03/2016,31.6,32.84,30.76,32.669998,25319600
09/03/2016,31.940001,33.18,31.469999,31.84,20200000
10/03/2016,30.780001,33.599998,28.809999,30.66,33400900
11/03/2016,29.15,29.48,27.549999,27.620001,25208600
14/03/2016,27.93,28.379999,26.379999,26.700001,17959000
15/03/2016,28.299999,28.5,27.34,27.389999,16964500
16/03/2016,28.139999,28.23,24.98,25.43,30789600
17/03/2016,25.41,25.74,23.309999,23.889999,32392000
18/03/2016,23.25,24.469999,22.65,23.5,28664700
21/03/2016,23.52,23.67,22.030001,22.15,26656900
22/03/2016,22.74,22.870001,21.25,21.559999,28220900
23/03/2016,22,23.83,21.950001,23.58,31187600
24/03/2016,25.200001,25.6,23.27,23.33,33032400
28/03/2016,22.83,23.629999,21.969999,22.73,22561900
29/03/2016,22.790001,23.18,20.049999,20.110001,31385100
30/03/2016,19.35,20.040001,18.5,19.110001,25182600
31/03/2016,19.42,19.92,18.59,19.33,28410400
01/04/2016,20.58,20.83,18.110001,18.219999,35070400
04/04/2016,18.15,19.32,17.969999,19.17,28457600
05/04/2016,20.65,21.58,20.129999,21.370001,37382800
06/04/2016,21.219999,21.540001,18.58,18.68,30066100
07/04/2016,19.68,22.93,19.23,22.07,32555500
08/04/2016,20.469999,21.809999,19.75,20.92,36039300
11/04/2016,20.23,21.59,19.719999,21.57,30470800
12/04/2016,21.52,22.530001,19.67,20.08,48853700
13/04/2016,19.120001,19.280001,18.02,18.059999,39064300
14/04/2016,17.959999,18.6,17.5,17.93,31859700
15/04/2016,17.799999,18.23,17.41,17.440001,33910700
18/04/2016,17.860001,17.889999,15.16,15.23,42773700
19/04/2016,15.16,16.27,14.7,15.59,38585200
20/04/2016,15.16,15.94,14.9,15.76,44947300
21/04/2016,16.09,16.84,15.83,16.35,45577700
22/04/2016,16.52,16.780001,15.39,15.51,39238600
25/04/2016,15.99,16.6,15.75,15.89,39680400
26/04/2016,15.51,15.72,15,15.24,30063000
27/04/2016,15.65,15.79,14.01,14.28,41312200
28/04/2016,14.86,16.190001,13.79,15.97,48986000
29/04/2016,16.4,18.5,16.01,17.02,68141800
02/05/2016,16.379999,16.74,14.69,15.05,40419500
03/05/2016,15.9,16.99,15.79,16.360001,40128400
04/05/2016,17.17,17.530001,16.540001,16.790001,47004700
05/05/2016,16.120001,17.290001,16,16.76,43341000
06/05/2016,16.879999,16.92,15.16,15.27,44922700
09/05/2016,14.93,15.05,13.93,14.54,37332800
10/05/2016,13.82,13.88,13.08,13.13,36219900
11/05/2016,13.2,14.22,12.8,13.98,33650700
12/05/2016,13.67,14.82,13.19,13.63,50427300
13/05/2016,13.64,14.85,13.11,14.63,50869600
16/05/2016,14.42,14.44,12.95,13.3,37908100
17/05/2016,13.51,14.88,13.35,14.49,42488300
18/05/2016,14.53,15.02,13.46,14.38,73491600
19/05/2016,14.87,16,14.43,14.52,72918600
20/05/2016,13.92,14,13.42,13.5,43420400
23/05/2016,13.46,13.67,13.01,13.36,33609400
24/05/2016,12.96,12.98,11.92,12.2,45155700
25/05/2016,11.8,12.03,11.28,11.74,35081500
26/05/2016,11.7,11.79,11.39,11.49,32628600
27/05/2016,11.3,11.4,10.84,10.85,31552800
31/05/2016,10.55,11.46,10.45,10.85,43212900
01/06/2016,11.2,11.42,10.52,10.67,43569800
02/06/2016,10.89,11.14,10.07,10.1,38091000
03/06/2016,10.46,11.02,9.86,9.99,55652000
06/06/2016,9.88,10.24,9.65,9.74,44337900
07/06/2016,9.56,9.79,9.35,9.79,35867900
08/06/2016,9.74,10.09,9.58,9.85,35868000
09/06/2016,10.26,10.5,10.02,10.23,38632500
10/06/2016,11.2,12.21,11.04,12.09,59477900
13/06/2016,13.2,15.76,12.58,15.7,91160900
14/06/2016,16.32,16.75,14.53,15.01,120636900
15/06/2016,14.71,15,13.44,14.73,60674200
16/06/2016,16.049999,17.120001,13.63,13.94,71446900
17/06/2016,13.92,14.45,13.42,13.92,55589700
20/06/2016,12.09,12.14,11.21,11.95,54227800
21/06/2016,11.51,12.53,11.47,12.07,54369800
22/06/2016,12.08,13.24,11.41,12.92,67775800
23/06/2016,11.49,11.86,10.26,10.4,65936500
24/06/2016,14.19,15.54,12.25,14.95,122014400
27/06/2016,14.93,16.68,14.61,14.72,105942400
28/06/2016,13.45,13.48,11.28,11.43,75156300
29/06/2016,10.58,10.61,9.83,10.09,62215800
30/06/2016,9.78,10.04,9.32,9.43,63967200
01/07/2016,9.28,9.35,8.75,8.85,71177600
