Date,Open,High,Low,Close,Adj Close,Volume
2017-02-17,133.5,134.089996,133.169998,133.529999,133.529999,12249900
2017-02-16,133.070007,133.869995,133.020004,133.839996,133.839996,12809800
2017-02-15,133.449997,133.699997,132.660004,133.440002,133.440002,13144500
2017-02-14,134.100006,134.229996,132.550003,133.850006,133.850006,14340100
2017-02-13,134.699997,134.699997,133.699997,134.050003,134.050003,13503300
2017-02-10,134.100006,134.940002,133.679993,134.190002,134.190002,14557400
2017-02-09,134.490005,134.5,133.309998,134.139999,134.139999,16441600
2017-02-08,132.600006,134.440002,132.440002,134.199997,134.199997,22329500
2017-02-07,132.240005,133.0,131.660004,131.839996,131.839996,14563800
2017-02-06,130.979996,132.059998,130.300003,132.059998,132.059998,16911200
2017-02-03,131.240005,132.850006,130.759995,130.979996,130.979996,24325000
2017-02-02,133.220001,135.490005,130.399994,130.839996,130.839996,54179400
2017-02-01,132.25,133.490005,130.679993,133.229996,133.229996,42482700
2017-01-31,130.169998,130.660004,129.520004,130.320007,130.320007,19444000
2017-01-30,131.580002,131.580002,129.600006,130.979996,130.979996,18891400
2017-01-27,132.679993,132.949997,131.080002,132.179993,132.179993,19493900
2017-01-26,131.630005,133.139999,131.440002,132.779999,132.779999,19818100
2017-01-25,130.0,131.740005,129.770004,131.479996,131.479996,18731300
2017-01-24,129.380005,129.899994,128.380005,129.369995,129.369995,15130100
2017-01-23,127.309998,129.25,126.949997,128.929993,128.929993,16514200
2017-01-20,128.100006,128.479996,126.779999,127.040001,127.040001,18798000
2017-01-19,128.229996,128.350006,127.449997,127.550003,127.550003,12157100
2017-01-18,128.410004,128.429993,126.839996,127.919998,127.919998,13069000
2017-01-17,128.039993,128.339996,127.400002,127.870003,127.870003,15228000
2017-01-13,127.489998,129.270004,127.370003,128.339996,128.339996,24838700
2017-01-12,125.610001,126.730003,124.800003,126.620003,126.620003,18561300
2017-01-11,124.349998,126.120003,124.059998,126.089996,126.089996,18298500
2017-01-10,124.82,125.5,124.279999,124.349998,124.349998,17247300
2017-01-09,123.550003,125.43,123.040001,124.900002,124.900002,22861600
2017-01-06,120.980003,123.879997,120.029999,123.410004,123.410004,28504400
2017-01-05,118.860001,120.949997,118.32,120.669998,120.669998,19443100
2017-01-04,117.550003,119.660004,117.290001,118.690002,118.690002,19549800
2017-01-03,116.029999,117.839996,115.510002,116.860001,116.860001,20602600
