,0,1,2,3,4,5
0,Date,Open,High,Low,Close,Volume
1,18/01/2017,14.98,15.0,14.94,14.96,106500
241,17/01/2017,15.0,15.02,14.91,14.94,311100
481,13/01/2017,14.99,15.05,14.99,14.99,246100
721,12/01/2017,15.1,15.1,14.97,15.01,445100
961,11/01/2017,15.2,15.2,15.0,15.04,501600
1201,10/01/2017,15.3,15.32,15.21,15.26,400500
1441,09/01/2017,15.3,15.33,15.25,15.25,421900
1681,06/01/2017,15.25,15.3,15.18,15.29,377500
1921,05/01/2017,15.24,15.25,15.16,15.21,259500
2161,04/01/2017,15.2,15.25,15.17,15.2,326000
2401,03/01/2017,15.2,15.24,15.09,15.17,389400
2641,30/12/2016,15.25,15.28,15.11,15.17,286500
2881,29/12/2016,15.19,15.2,15.1,15.17,139100
3121,28/12/2016,15.11,15.2,15.1,15.16,195600
3361,27/12/2016,15.1,15.22,15.09,15.16,109300
3601,23/12/2016,15.13,15.23,15.02,15.02,218000
3841,22/12/2016,15.15,15.25,14.82,15.15,279400
4081,21/12/2016,15.0,15.2,15.0,15.07,143200
4321,20/12/2016,15.09,15.1,14.89,15.0,319500
4561,19/12/2016,15.25,15.25,14.91,15.03,342700
4800,16/12/2016,15.05,15.11,15.0,15.06,170300
5036,15/12/2016,14.98,15.22,14.97,15.1,183000
5271,14/12/2016,15.1,15.35,14.97,15.03,187200
5505,13/12/2016,15.3,15.45,14.86,15.19,368100
5738,12/12/2016,15.62,15.85,15.38,15.65,607000
5970,09/12/2016,15.55,15.69,15.55,15.62,301200
6199,08/12/2016,15.55,15.55,15.46,15.52,193600
6427,07/12/2016,15.45,15.55,15.42,15.47,200500
6654,06/12/2016,15.37,15.45,15.35,15.43,161100
6880,05/12/2016,15.37,15.4,15.32,15.36,142600
7105,02/12/2016,15.3,15.34,15.27,15.32,145000
7327,01/12/2016,15.38,15.38,15.27,15.3,163400
7548,30/11/2016,15.4,15.4,15.29,15.3,136800
7768,29/11/2016,15.29,15.36,15.27,15.27,96800
7988,28/11/2016,15.28,15.43,15.08,15.28,301500
8208,25/11/2016,15.28,15.33,15.23,15.31,74100
8428,23/11/2016,15.18,15.31,15.06,15.21,228600
8648,22/11/2016,15.2,15.26,15.09,15.18,236400
8868,21/11/2016,15.04,15.11,14.95,15.11,98600
9088,18/11/2016,14.89,15.03,14.89,14.97,110300
9306,17/11/2016,14.84,14.98,14.84,14.95,161900
9523,16/11/2016,15.03,15.05,14.82,14.82,98900
9739,15/11/2016,14.93,15.05,14.88,14.96,117800
9954,14/11/2016,15.27,15.28,14.4,14.9,363500
10168,11/11/2016,15.02,15.24,15.01,15.11,305600
10379,10/11/2016,15.32,15.4,15.11,15.16,500200
10589,09/11/2016,14.74,15.32,14.74,15.29,630700
10798,08/11/2016,14.95,15.12,14.93,15.04,213600
11006,07/11/2016,14.84,15.09,14.78,14.99,389900
11213,04/11/2016,14.72,14.91,14.67,14.81,245700
11417,03/11/2016,14.63,14.78,14.54,14.76,431400
11620,02/11/2016,14.7,14.76,14.45,14.61,322600
11822,01/11/2016,14.98,14.99,14.55,14.72,679100
12023,31/10/2016,15.01,15.1,14.78,14.93,311900
12223,28/10/2016,14.89,15.01,14.68,14.87,238500
12423,27/10/2016,15.15,15.18,14.7,14.77,261700
12623,26/10/2016,14.69,15.16,14.69,14.99,508600
12823,25/10/2016,14.57,14.78,14.5,14.73,191800
13023,24/10/2016,14.17,14.53,14.17,14.53,197000
13223,21/10/2016,14.17,14.23,14.07,14.15,147300
13423,20/10/2016,14.17,14.24,14.14,14.14,141100
13623,19/10/2016,14.07,14.25,14.07,14.19,249900
13822,18/10/2016,14.07,14.15,14.01,14.12,177400
14020,17/10/2016,14.01,14.13,14.01,14.07,186800
14217,14/10/2016,14.12,14.18,13.95,14.04,234500
14411,13/10/2016,14.1,14.32,13.75,14.24,489000
14604,12/10/2016,14.61,14.83,14.51,14.59,349100
14796,11/10/2016,14.88,14.9,14.5,14.54,431700
14987,10/10/2016,14.87,14.98,14.8,14.88,359900
15177,07/10/2016,14.94,14.98,14.83,14.87,142600
15364,06/10/2016,14.96,14.96,14.81,14.91,128600
15550,05/10/2016,14.84,14.95,14.84,14.89,171300
15735,04/10/2016,14.96,14.97,14.82,14.84,187800
15919,03/10/2016,14.93,14.99,14.82,14.96,156800
16102,30/09/2016,14.82,14.99,14.65,14.91,232400
16282,29/09/2016,15.05,15.21,14.79,14.8,367100
16462,28/09/2016,14.88,15.01,14.82,15.01,125800
16642,27/09/2016,14.86,14.94,14.71,14.93,122600
16822,26/09/2016,14.88,14.95,14.77,14.79,401500
17002,23/09/2016,14.99,15.0,14.67,14.88,513800
17182,22/09/2016,14.87,14.96,14.75,14.92,234700
17362,21/09/2016,14.57,14.85,14.37,14.85,738600
17542,20/09/2016,15.25,15.33,15.0,15.0,388700
17722,19/09/2016,14.93,15.45,14.92,15.17,597400
17901,16/09/2016,15.27,15.27,14.8,15.02,637500
18077,15/09/2016,15.95,16.1,14.78,15.31,1434100
18252,14/09/2016,16.0,16.370001000000002,15.78,15.83,1153600
18426,13/09/2016,16.040001,16.33,15.87,16.15,729400
18599,12/09/2016,16.719998999999998,16.75,16.219998999999998,16.66,648600
18771,09/09/2016,16.790001,16.85,16.540001,16.73,615100
18940,08/09/2016,16.9,16.940001000000002,16.799999,16.83,345300
19108,07/09/2016,16.860001,16.940001000000002,16.76,16.91,173200
19275,06/09/2016,16.75,16.98,16.66,16.77,471400
19441,02/09/2016,16.77,16.84,16.65,16.74,154100
19603,01/09/2016,16.83,16.85,16.59,16.65,212500
19764,31/08/2016,16.9,16.950001,16.700001,16.75,213300
19924,30/08/2016,16.559998999999998,17.110001,16.34,16.82,756400
20084,29/08/2016,16.299999,16.549999,16.299999,16.540001,335500
20244,26/08/2016,16.200001,16.450001,16.030001000000002,16.27,387500
20404,25/08/2016,16.25,16.290001,15.95,16.110001,795900
20564,24/08/2016,16.610001,16.610001,16.27,16.290001,189900
20724,23/08/2016,16.4,16.59,16.309998999999998,16.5,155500
20884,22/08/2016,16.51,16.549999,16.07,16.41,570400
21044,19/08/2016,16.780001000000002,16.790001,16.379998999999998,16.49,256000
21203,18/08/2016,16.5,16.73,16.25,16.530001000000002,406400
21361,17/08/2016,16.559998999999998,16.74,16.440001000000002,16.450001,349500
21518,16/08/2016,16.75,17.120001000000002,16.4,16.68,337900
21674,15/08/2016,16.75,17.0,16.75,16.84,175400
21829,12/08/2016,16.799999,17.27,16.66,16.73,422900
21981,11/08/2016,16.24,16.92,16.190001000000002,16.860001,430000
22132,10/08/2016,16.700001,16.83,16.5,16.58,634900
22282,09/08/2016,17.07,17.07,15.52,16.709999,1680600
22431,08/08/2016,18.27,18.35,16.879998999999998,16.969998999999998,1557000
22579,05/08/2016,18.1,18.48,18.1,18.27,218200
22724,04/08/2016,18.049999,18.129998999999998,17.870001000000002,18.129998999999998,175800
22868,03/08/2016,17.83,18.02,17.82,18.02,156000
23011,02/08/2016,17.98,17.98,17.65,17.83,216200
23153,01/08/2016,17.549999,17.799999,17.440001000000002,17.780001000000002,253200
23294,29/07/2016,17.379998999999998,17.559998999999998,17.299999,17.51,291700
23434,28/07/2016,17.08,17.27,17.08,17.26,195100
23574,27/07/2016,17.07,17.110001,17.01,17.08,90300
23714,26/07/2016,16.959999,17.040001,16.92,17.0,165000
23854,25/07/2016,16.940001000000002,16.98,16.860001,16.92,106600
23994,22/07/2016,16.860001,16.9,16.799999,16.9,76600
24134,21/07/2016,16.82,16.84,16.799999,16.799999,45100
24274,20/07/2016,16.860001,16.969998999999998,16.799999,16.83,141300
24414,19/07/2016,16.690001000000002,16.809998999999998,16.67,16.809998999999998,109500
24553,18/07/2016,16.639999,16.77,16.51,16.74,302400
24691,15/07/2016,16.83,16.83,16.41,16.58,416200
24826,14/07/2016,16.860001,16.92,16.799999,16.799999,149900
24960,13/07/2016,16.75,16.860001,16.65,16.809998999999998,244700
25093,12/07/2016,16.950001,17.1,16.870001000000002,17.059998999999998,421000
25225,11/07/2016,16.76,16.92,16.76,16.9,240000
25356,08/07/2016,16.799999,16.83,16.700001,16.73,232600
25484,07/07/2016,16.74,16.85,16.620001000000002,16.68,283600
25611,06/07/2016,16.549999,16.700001,16.530001000000002,16.700001,197500
25737,05/07/2016,16.450001,16.620001000000002,16.43,16.59,274200
25862,01/07/2016,16.4,16.440001000000002,16.33,16.43,147300
25983,30/06/2016,16.370001000000002,16.379998999999998,16.209999,16.379998999999998,142800
26103,29/06/2016,16.35,16.35,16.25,16.32,119200
26223,28/06/2016,16.049999,16.26,16.040001,16.15,125600
26343,27/06/2016,16.09,16.15,15.9,15.93,259800
26463,24/06/2016,15.86,16.290001,15.7,16.18,435600
26583,23/06/2016,16.370001000000002,16.450001,16.35,16.4,89900
26703,22/06/2016,16.370001000000002,16.379998999999998,16.219998999999998,16.27,166100
26823,21/06/2016,16.15,16.27,16.110001,16.27,119000
26943,20/06/2016,16.120001000000002,16.190001000000002,16.1,16.139999,82400
27063,17/06/2016,16.120001000000002,16.18,16.040001,16.040001,82400
27180,16/06/2016,15.95,16.09,15.85,16.09,175600
27296,15/06/2016,16.190001000000002,16.190001000000002,15.95,16.0,90200
27411,14/06/2016,16.15,16.219998999999998,16.030001000000002,16.1,120100
27525,13/06/2016,16.02,16.219998999999998,15.93,16.18,129000
27638,10/06/2016,16.52,16.6,16.309998999999998,16.41,245100
27748,09/06/2016,16.58,16.73,16.469998999999998,16.5,263500
27857,08/06/2016,16.780001000000002,16.85,16.58,16.629998999999998,380200
27965,07/06/2016,16.700001,16.860001,16.58,16.76,207500
28072,06/06/2016,16.639999,16.780001000000002,16.610001,16.690001000000002,246200
28178,03/06/2016,16.59,16.65,16.379998999999998,16.639999,253300
28281,02/06/2016,16.24,16.700001,16.07,16.5,412100
28383,01/06/2016,16.309998999999998,16.360001,16.15,16.26,262600
28484,31/05/2016,16.27,16.360001,16.17,16.25,248800
28584,27/05/2016,15.92,16.15,15.92,16.129998999999998,178600
28684,26/05/2016,15.97,15.98,15.88,15.95,100400
28784,25/05/2016,15.98,15.98,15.81,15.91,131100
28884,24/05/2016,15.81,15.98,15.7,15.89,129500
28984,23/05/2016,15.9,15.98,15.7,15.86,173500
29084,20/05/2016,15.76,16.049999,15.68,15.97,119600
29184,19/05/2016,15.75,15.86,15.38,15.65,382100
29283,18/05/2016,15.85,15.95,15.82,15.83,98300
29381,17/05/2016,15.91,16.059998999999998,15.8,15.92,143700
29478,16/05/2016,16.200001,16.24,15.84,16.040001,274700
29574,13/05/2016,16.219998999999998,16.26,15.81,16.16,484100
29667,12/05/2016,16.379998999999998,16.41,15.77,16.219998999999998,397600
29759,11/05/2016,16.73,16.91,16.620001000000002,16.620001000000002,549400
29850,10/05/2016,16.450001,16.709999,16.34,16.690001000000002,415600
29940,09/05/2016,16.450001,16.469998999999998,16.33,16.41,346800
30029,06/05/2016,16.1,16.48,16.049999,16.42,398100
30115,05/05/2016,16.09,16.200001,16.049999,16.1,181300
30200,04/05/2016,16.0,16.129998999999998,15.94,16.049999,175200
30284,03/05/2016,15.97,16.059998999999998,15.88,16.02,157300
30367,02/05/2016,16.01,16.049999,15.8,16.040001,205600
30449,29/04/2016,15.9,16.040001,15.8,15.9,335900
30529,28/04/2016,15.77,16.08,15.66,15.81,494500
30609,27/04/2016,15.42,15.75,15.4,15.75,312900
30689,26/04/2016,15.5,15.51,15.34,15.44,137200
30769,25/04/2016,15.28,15.44,15.23,15.43,125200
