Date,Open,High,Low,Close,Volume
15/07/2016,24.68,24.68,24.57,24.620001,1093800
14/07/2016,24.75,24.76,24.690001,24.719999,855600
13/07/2016,24.870001,24.879999,24.700001,24.809999,1707600
12/07/2016,24.610001,24.84,24.610001,24.790001,1427300
11/07/2016,24.02,24.08,23.98,24.08,982200
08/07/2016,23.969999,24.129999,23.969999,24.110001,705300
07/07/2016,24.07,24.09,23.92,23.959999,626500
06/07/2016,23.9,24.09,23.860001,24.09,1061500
05/07/2016,23.75,23.950001,23.75,23.84,1029300
01/07/2016,23.65,23.67,23.549999,23.59,728200
30/06/2016,23.700001,23.76,23.6,23.76,659300
29/06/2016,23.59,23.780001,23.559999,23.76,1068900
28/06/2016,23.450001,23.469999,23.280001,23.4,824700
27/06/2016,23.17,23.209999,23.01,23.110001,1416600
24/06/2016,23.01,23.389999,22.9,22.92,1906700
23/06/2016,23.59,23.790001,23.549999,23.780001,933100
22/06/2016,23.6,23.74,23.59,23.639999,964400
21/06/2016,23.41,23.450001,23.309999,23.35,449100
20/06/2016,23.43,23.620001,23.43,23.469999,1169200
17/06/2016,23.280001,23.459999,23.24,23.43,1154000
16/06/2016,23.07,23.32,22.98,23.280001,1047900
15/06/2016,23.200001,23.280001,23.129999,23.15,2890400
15/06/2016,23.200001,23.280001,23.129999,23.15,3120700
14/06/2016,22.959999,23.110001,22.9,23.1,1785200
13/06/2016,22.83,22.98,22.799999,22.799999,1471300
10/06/2016,23.49,23.5,23.309999,23.379999,1503600
09/06/2016,23.799999,23.83,23.610001,23.82,736000
08/06/2016,23.93,23.98,23.860001,23.91,973000
07/06/2016,24.15,24.18,24.08,24.08,1218500
06/06/2016,24.049999,24.27,24.049999,24.200001,1048700
03/06/2016,24.1,24.299999,24.1,24.290001,1163400
02/06/2016,23.860001,24.040001,23.809999,24.02,1403600
01/06/2016,23.950001,23.950001,23.74,23.799999,1173200
31/05/2016,24.040001,24.219999,23.940001,24.219999,3555800
27/05/2016,23.190001,23.190001,23.059999,23.139999,712400
26/05/2016,23.17,23.26,23.0,23.040001,359000
25/05/2016,23.09,23.209999,23.01,23.059999,937300
24/05/2016,22.92,23.280001,22.91,23.27,1032800
23/05/2016,23.1,23.139999,23.01,23.030001,675900
20/05/2016,23.09,23.17,22.99,23.110001,1166100
19/05/2016,22.719999,22.83,22.68,22.719999,1556800
18/05/2016,22.879999,22.92,22.610001,22.75,1306800
17/05/2016,23.059999,23.120001,22.92,22.940001,1058100
16/05/2016,23.040001,23.26,23.040001,23.23,1657100
13/05/2016,22.940001,23.01,22.780001,22.799999,1218600
12/05/2016,23.15,23.24,23.01,23.059999,1032900
11/05/2016,23.01,23.1,22.940001,22.950001,849700
10/05/2016,22.92,23.219999,22.92,23.219999,1190300
09/05/2016,22.91,22.91,22.65,22.719999,3221300
06/05/2016,23.4,23.52,23.389999,23.43,2300800
05/05/2016,24.129999,24.209999,24.049999,24.139999,1178200
04/05/2016,24.15,24.209999,23.99,24.01,804900
03/05/2016,24.25,24.299999,24.059999,24.120001,1382000
02/05/2016,23.92,23.99,23.870001,23.950001,658000
29/04/2016,23.959999,23.959999,23.77,23.92,1165500
28/04/2016,23.950001,24.0,23.84,23.85,1120500
27/04/2016,23.950001,24.16,23.950001,24.1,735600
26/04/2016,24.09,24.209999,24.08,24.200001,1198100
25/04/2016,23.83,23.9,23.76,23.860001,930200
22/04/2016,23.98,24.07,23.870001,23.98,1641700
21/04/2016,24.040001,24.049999,23.76,23.77,2335600
20/04/2016,24.25,24.33,24.02,24.190001,2318700
19/04/2016,24.809999,24.9,24.74,24.879999,1280200
18/04/2016,24.610001,24.870001,24.540001,24.799999,1361800
15/04/2016,24.85,24.969999,24.799999,24.860001,2327400
14/04/2016,25.190001,25.190001,24.950001,25.040001,3091100
13/04/2016,25.120001,25.299999,25.1,25.190001,4073300
12/04/2016,24.59,24.76,24.42,24.74,1262600
11/04/2016,24.67,24.83,24.58,24.629999,1583900
08/04/2016,24.5,24.530001,24.24,24.360001,1665100
07/04/2016,24.4,24.549999,24.040001,24.15,3113500
06/04/2016,24.700001,24.99,24.65,24.99,878200
05/04/2016,24.799999,24.9,24.639999,24.709999,1364400
04/04/2016,24.58,24.77,24.469999,24.49,845100
01/04/2016,24.299999,24.77,24.299999,24.700001,1595900
31/03/2016,24.66,24.73,24.549999,24.549999,1465500
30/03/2016,24.790001,24.950001,24.709999,24.84,2411800
29/03/2016,23.690001,24.139999,23.65,23.91,2301300
28/03/2016,23.799999,24.09,23.799999,24.08,1043000
24/03/2016,24.0,24.01,23.85,23.93,2248700
23/03/2016,24.639999,24.700001,24.450001,24.469999,846800
22/03/2016,24.65,24.75,24.52,24.549999,1973900
21/03/2016,25.02,25.110001,24.860001,25.059999,3265500
18/03/2016,24.540001,24.77,24.459999,24.690001,4189000
17/03/2016,23.879999,24.219999,23.84,24.16,2414300
16/03/2016,23.16,23.809999,23.139999,23.790001,2027100
15/03/2016,23.15,23.290001,23.030001,23.200001,1199300
14/03/2016,23.25,23.42,23.190001,23.370001,1199200
11/03/2016,22.74,23.129999,22.74,23.110001,1834900
10/03/2016,22.719999,22.790001,22.35,22.530001,1538400
09/03/2016,23.08,23.16,22.959999,23.08,2130200
08/03/2016,23.5,23.5,23.120001,23.16,2356200
07/03/2016,23.620001,23.700001,23.49,23.51,1598400
04/03/2016,23.51,23.91,23.450001,23.879999,2475700
03/03/2016,23.139999,23.299999,23.02,23.190001,1236700
02/03/2016,22.940001,23.139999,22.889999,23.09,1598500
01/03/2016,22.17,22.49,22.110001,22.459999,1939700
29/02/2016,21.91,21.92,21.76,21.76,1507600
26/02/2016,22.440001,22.48,22.25,22.299999,850800
25/02/2016,22.08,22.25,21.950001,22.16,2225300
24/02/2016,23.280001,23.549999,23.15,23.52,1474200
23/02/2016,23.25,23.360001,23.120001,23.129999,1368500
22/02/2016,23.68,23.860001,23.59,23.809999,1834300
19/02/2016,23.049999,23.16,22.969999,23.120001,1491600
18/02/2016,23.18,23.32,22.969999,23.040001,1293200
17/02/2016,23.030001,23.48,22.98,23.43,2223900
16/02/2016,22.700001,23.040001,22.52,23.01,3764300
12/02/2016,21.299999,21.52,21.110001,21.5,1306600
11/02/2016,21.08,21.24,20.9,21.08,1987600
10/02/2016,21.360001,21.74,21.360001,21.57,723200
09/02/2016,21.200001,21.49,21.190001,21.33,669000
08/02/2016,21.41,21.65,21.309999,21.440001,830800
05/02/2016,22.07,22.07,21.610001,21.639999,1287500
04/02/2016,22.24,22.5,22.190001,22.34,1922000
03/02/2016,21.74,22.17,21.67,22.16,1327100
02/02/2016,22.040001,22.040001,21.610001,21.74,1324500
01/02/2016,21.389999,21.52,21.299999,21.43,1783100
29/01/2016,21.870001,22.23,21.82,22.17,2355100
28/01/2016,21.450001,21.51,21.139999,21.280001,2019200
27/01/2016,21.700001,21.959999,21.6,21.620001,1543800
26/01/2016,22.0,22.110001,21.92,22.01,3141500
25/01/2016,23.15,23.17,22.799999,22.809999,1087000
25/01/2016,23.15,23.17,22.799999,22.809999,1096700
22/01/2016,23.41,23.469999,23.25,23.440001,1002200
21/01/2016,22.83,23.23,22.790001,23.110001,1102400
20/01/2016,23.16,23.450001,22.92,23.33,1886600
20/01/2016,23.16,23.450001,22.92,23.33,1887300
19/01/2016,23.73,23.92,23.51,23.83,4020700
19/01/2016,23.73,23.92,23.51,23.83,4228500
15/01/2016,22.719999,22.860001,22.26,22.67,2861200
14/01/2016,23.629999,23.969999,23.440001,23.950001,2571200
13/01/2016,23.530001,23.530001,22.950001,22.950001,2296400
12/01/2016,24.190001,24.309999,23.950001,24.190001,1469700
11/01/2016,23.85,23.9,23.440001,23.67,2910300
08/01/2016,24.65,24.709999,24.190001,24.26,2061400
07/01/2016,24.059999,24.92,23.9,24.129999,4267600
06/01/2016,25.790001,25.99,25.68,25.75,1144600
05/01/2016,25.969999,26.0,25.77,25.959999,2816200
04/01/2016,25.67,25.85,25.24,25.6,3871100
31/12/2015,28.219999,28.370001,27.98,27.98,1005300
30/12/2015,28.219999,28.4,28.15,28.299999,1260900
29/12/2015,28.440001,28.51,28.33,28.41,1053200
28/12/2015,28.370001,28.370001,28.07,28.17,2512000
24/12/2015,29.200001,29.24,29.030001,29.08,942200
23/12/2015,29.450001,29.49,29.299999,29.389999,1349400
22/12/2015,29.57,29.82,29.389999,29.76,1560000
21/12/2015,29.4,29.43,29.24,29.389999,2498600
18/12/2015,28.4,28.66,28.4,28.6,2699700
17/12/2015,28.75,28.77,28.27,28.299999,981200
16/12/2015,28.08,28.49,27.950001,28.35,1842100
15/12/2015,36.259998,36.450001,36.18,36.299999,1755700
14/12/2015,36.130001,36.279999,35.98,36.259998,2160000
11/12/2015,35.099998,35.299999,34.82,34.91,2038700
10/12/2015,35.549999,35.77,35.400002,35.549999,2114500
09/12/2015,35.75,36.049999,35.5,35.509998,1267300
08/12/2015,35.419998,35.849998,35.419998,35.700001,2111600
07/12/2015,36.669998,36.779999,36.09,36.27,1475300
04/12/2015,36.389999,36.93,36.34,36.82,688000
03/12/2015,37.150002,37.23,36.880001,36.970001,1335700
02/12/2015,37.0,37.130001,36.700001,36.869999,1537000
01/12/2015,36.0,36.150002,35.709999,35.830002,1016200
30/11/2015,35.34,35.919998,35.23,35.919998,2054200
27/11/2015,35.41,35.5,35.099998,35.099998,2940400
25/11/2015,37.900002,37.919998,37.689999,37.849998,813700
24/11/2015,37.23,37.529999,37.150002,37.509998,871400
23/11/2015,37.48,37.490002,37.27,37.400002,1760000
20/11/2015,38.060001,38.080002,37.84,37.860001,1892000
19/11/2015,37.950001,38.060001,37.799999,37.98,1315200
18/11/2015,37.16,37.57,37.080002,37.470001,3502500
17/11/2015,37.48,37.709999,37.43,37.549999,1407700
16/11/2015,37.43,38.0,37.279999,37.950001,3357500
13/11/2015,36.689999,36.689999,36.060001,36.18,3108200
12/11/2015,37.849998,37.889999,37.419998,37.419998,1774700
11/11/2015,38.48,38.599998,38.23,38.299999,3087500
10/11/2015,38.07,38.27,37.990002,38.169998,843200
09/11/2015,38.209999,38.369999,37.740002,37.869999,1988700
06/11/2015,37.580002,38.060001,37.380001,38.009998,1967300
05/11/2015,37.130001,37.299999,36.98,37.099998,2081000
04/11/2015,36.759998,36.799999,36.349998,36.450001,2957700
03/11/2015,34.900002,35.080002,34.689999,34.919998,800200
02/11/2015,35.0,35.279999,34.900002,35.150002,1652100
30/10/2015,35.529999,35.650002,35.380001,35.52,919900
29/10/2015,35.299999,35.470001,35.200001,35.400002,1508300
28/10/2015,35.18,35.369999,34.779999,34.950001,1761500
27/10/2015,35.98,35.98,35.669998,35.720001,902400
26/10/2015,36.09,36.110001,35.880001,35.919998,2174700
23/10/2015,36.900002,37.049999,36.59,36.900002,2962700
22/10/2015,35.450001,36.009998,35.41,35.939999,1997500
21/10/2015,34.959999,34.970001,34.549999,34.610001,2699000
20/10/2015,36.139999,36.310001,35.990002,36.259998,1709200
19/10/2015,35.639999,35.82,35.509998,35.59,1854900
16/10/2015,35.939999,36.209999,35.73,36.189999,3237700
15/10/2015,35.310001,35.84,35.25,35.77,4276100
14/10/2015,34.490002,34.490002,34.16,34.169998,1776200
13/10/2015,34.669998,34.98,34.490002,34.689999,1775200
12/10/2015,34.849998,35.07,34.830002,34.849998,2083900
09/10/2015,33.900002,33.98,33.619999,33.619999,2021300
08/10/2015,33.59,34.07,33.43,34.060001,2605300
07/10/2015,34.599998,34.700001,34.259998,34.52,3143100
06/10/2015,33.5,33.84,33.5,33.59,728000
05/10/2015,33.68,33.98,33.509998,33.849998,2002300
02/10/2015,32.380001,33.439999,32.380001,33.400002,3069800
01/10/2015,32.5,32.619999,32.220001,32.59,672700
30/09/2015,32.200001,32.369999,32.009998,32.34,972800
29/09/2015,31.959999,32.18,31.82,32.09,1349800
28/09/2015,31.950001,32.16,31.77,31.77,1024400
25/09/2015,32.27,32.41,31.879999,31.879999,1878200
24/09/2015,32.279999,32.720001,32.200001,32.700001,1528600
23/09/2015,32.529999,32.720001,32.419998,32.529999,2471100
22/09/2015,32.490002,35.290001,32.279999,32.59,1822200
21/09/2015,32.799999,33.099998,32.790001,32.970001,1938600
18/09/2015,31.93,32.139999,31.6,31.6,3531800
17/09/2015,31.9,33.029999,31.9,32.330002,2109200
16/09/2015,32.560001,33.25,32.549999,33.139999,2592900
15/09/2015,31.02,31.43,30.83,31.25,1675100
14/09/2015,31.99,32.0,31.65,31.68,3071700
11/09/2015,32.91,33.48,32.82,33.330002,1688800
10/09/2015,33.07,33.43,32.990002,33.279999,2236800
09/09/2015,33.43,33.490002,32.5,32.509998,3962700
08/09/2015,33.23,33.599998,33.009998,33.599998,5287200
04/09/2015,30.67,30.959999,29.889999,30.110001,3285300
03/09/2015,31.469999,32.09,31.299999,31.540001,1608800
02/09/2015,31.200001,31.43,30.92,31.26,1627500
01/09/2015,31.42,31.549999,30.719999,31.09,5838100
31/08/2015,32.360001,32.68,32.029999,32.029999,4363800
28/08/2015,32.52,32.869999,32.41,32.700001,4958800
27/08/2015,31.700001,32.939999,31.440001,32.939999,9840000
26/08/2015,29.48,30.4,28.84,30.34,10994400
25/08/2015,31.66,31.66,30.0,30.129999,9649100
24/08/2015,29.4,31.07,28.889999,30.110001,14065800
21/08/2015,35.380001,35.709999,34.73,34.869999,9228800
20/08/2015,37.009998,37.060001,36.599998,36.66,3253500
19/08/2015,38.119999,38.25,37.709999,37.77,1688700
18/08/2015,37.93,38.009998,37.540001,37.630001,4223700
17/08/2015,40.59,40.639999,40.279999,40.490002,1771800
14/08/2015,40.75,40.900002,40.650002,40.77,1112500
13/08/2015,40.900002,40.950001,40.700001,40.759998,2054000
12/08/2015,39.720001,40.02,39.41,39.970001,3175400
11/08/2015,41.32,41.389999,40.759998,41.189999,2634500
10/08/2015,42.369999,42.849998,42.369999,42.790001,2956000
07/08/2015,40.549999,40.59,40.240002,40.419998,2279500
06/08/2015,39.75,39.990002,39.549999,39.650002,1941500
05/08/2015,40.099998,40.490002,40.09,40.240002,2034100
04/08/2015,40.84,41.119999,40.669998,41.060001,2634600
03/08/2015,39.169998,39.459999,39.150002,39.32,2306100
31/07/2015,39.650002,39.799999,39.419998,39.5,1423000
30/07/2015,39.619999,39.91,39.59,39.830002,2299300
29/07/2015,40.82,41.279999,40.75,41.049999,2194400
28/07/2015,39.43,40.0,39.279999,39.939999,3647400
27/07/2015,38.779999,39.369999,38.560001,39.16,7124100
24/07/2015,43.299999,43.299999,42.799999,43.110001,3459600
23/07/2015,44.330002,44.580002,44.130001,44.299999,3240900
22/07/2015,42.950001,43.080002,42.82,43.02,2758100
21/07/2015,42.799999,43.0,42.720001,42.98,2640900
20/07/2015,42.75,42.98,42.560001,42.57,2735900
17/07/2015,43.369999,43.52,43.060001,43.459999,3270000
16/07/2015,41.23,42.189999,41.169998,42.110001,5069400
15/07/2015,40.299999,40.639999,40.049999,40.240002,4733300
14/07/2015,41.939999,42.27,41.790001,42.07,3955800
13/07/2015,43.27,43.380001,42.48,42.860001,5634200
10/07/2015,43.509998,43.549999,42.439999,43.25,8118200
09/07/2015,38.709999,40.869999,38.529999,40.689999,15812400
08/07/2015,34.799999,35.82,33.889999,33.889999,13854300
07/07/2015,38.790001,38.799999,36.529999,38.209999,15114800
06/07/2015,41.639999,41.939999,41.25,41.34,5039500
02/07/2015,42.52,42.689999,42.349998,42.419998,4177100
01/07/2015,43.59,44.360001,43.490002,44.200001,4617100
30/06/2015,45.779999,46.040001,45.450001,46.009998,5858100
29/06/2015,43.200001,43.57,43.009998,43.119999,6042800
26/06/2015,43.700001,43.970001,42.82,43.0,9800900
25/06/2015,48.330002,48.59,47.810001,47.810001,4264400
24/06/2015,51.07,51.099998,50.330002,50.389999,4322300
23/06/2015,49.639999,49.889999,49.459999,49.849998,2648500
22/06/2015,48.5,49.080002,48.5,48.610001,3013100
19/06/2015,48.23,48.57,47.919998,48.240002,6505700
18/06/2015,50.759998,51.259998,50.599998,51.099998,2419600
17/06/2015,52.650002,52.709999,52.360001,52.599998,2022800
16/06/2015,51.630001,51.91,51.470001,51.75,2628700
15/06/2015,53.27,53.43,52.91,53.209999,3047100
12/06/2015,54.900002,55.189999,54.849998,55.169998,1317000
11/06/2015,54.349998,54.599998,54.290001,54.509998,1750300
10/06/2015,54.0,54.48,53.799999,54.119999,3435500
09/06/2015,53.849998,53.939999,53.27,53.700001,3679300
08/06/2015,54.57,54.880001,54.43,54.720001,2908300
