Date,Open,High,Low,Close,Volume
Date,Open,High,Low,Close,Volume
02/01/2015,19.469999,19.49,19.01,19.059999,33100
05/01/2015,19.26,19.75,19.01,19.209999,54600
06/01/2015,19.209999,19.209999,18.66,18.93,80100
07/01/2015,19.15,19.4,18.440001,18.700001,44600
08/01/2015,19.01,19.01,18.530001,18.77,21600
09/01/2015,18.559999,18.99,18.530001,18.92,27000
12/01/2015,19.0,19.0,18.58,18.76,42700
13/01/2015,18.790001,18.92,18.67,18.700001,25100
14/01/2015,18.57,18.9,18.4,18.83,13200
15/01/2015,18.950001,18.950001,18.73,18.91,7800
16/01/2015,18.76,19.01,18.74,18.9,37500
20/01/2015,18.540001,18.889999,18.52,18.85,26300
21/01/2015,18.9,18.969999,18.75,18.85,6500
22/01/2015,18.870001,18.870001,18.27,18.469999,47800
23/01/2015,18.379999,18.67,18.34,18.48,27100
26/01/2015,18.57,18.57,18.129999,18.370001,34900
27/01/2015,18.41,18.41,17.85,17.860001,33000
28/01/2015,17.99,17.99,17.58,17.799999,23200
29/01/2015,17.799999,17.99,17.52,17.73,47400
30/01/2015,17.540001,17.790001,17.48,17.58,57800
02/02/2015,17.59,17.73,17.290001,17.379999,35000
03/02/2015,17.52,18.07,17.52,17.959999,43300
04/02/2015,17.950001,18.459999,17.82,18.25,34800
05/02/2015,18.309999,18.379999,18.09,18.32,25800
06/02/2015,18.309999,18.6,18.02,18.549999,34200
09/02/2015,18.85,19.48,18.200001,18.440001,15600
10/02/2015,18.58,18.690001,18.17,18.450001,49800
11/02/2015,18.530001,18.950001,18.469999,18.709999,70900
12/02/2015,18.75,18.75,18.27,18.43,73400
13/02/2015,18.5,18.68,18.0,18.299999,29900
17/02/2015,18.299999,18.709999,18.280001,18.5,29300
18/02/2015,18.58,18.74,18.35,18.58,32300
19/02/2015,18.58,18.700001,18.360001,18.469999,30200
20/02/2015,18.52,18.52,18.299999,18.440001,17100
23/02/2015,18.48,18.75,18.17,18.5,37100
24/02/2015,18.33,18.809999,18.33,18.719999,13800
25/02/2015,18.42,18.870001,18.42,18.77,35100
26/02/2015,18.83,18.98,18.719999,18.83,10700
27/02/2015,18.799999,19.0,18.68,18.870001,18800
02/03/2015,18.969999,19.360001,18.92,18.99,75100
03/03/2015,19.110001,19.110001,18.799999,18.879999,25800
04/03/2015,18.860001,19.0,18.68,18.93,33400
05/03/2015,18.84,19.049999,18.76,18.9,23500
06/03/2015,18.879999,19.09,18.709999,18.93,27800
09/03/2015,19.0,19.24,18.950001,19.209999,42500
10/03/2015,19.23,19.25,18.700001,19.059999,25900
11/03/2015,19.110001,19.309999,19.110001,19.17,25800
12/03/2015,19.139999,19.35,19.110001,19.280001,10300
13/03/2015,19.190001,19.309999,18.950001,19.219999,20900
16/03/2015,19.35,19.35,19.129999,19.219999,12200
17/03/2015,19.23,19.34,19.1,19.129999,41400
