,0,1,2,3,4,5
0,Date,Open,High,Low,Close,Volume
1,18/01/2017,6.94,7.04,6.93,7.02,11950400
241,17/01/2017,7.04,7.05,6.88,6.93,10565800
481,13/01/2017,7.0,7.08,6.98,7.05,10081300
721,12/01/2017,7.02,7.04,6.83,6.94,14920700
961,11/01/2017,7.07,7.08,6.91,7.0,16550600
1201,10/01/2017,7.11,7.14,7.01,7.03,18189100
1441,09/01/2017,7.07,7.12,6.96,6.97,15209000
1681,06/01/2017,7.14,7.15,6.97,7.01,24684500
1921,05/01/2017,7.16,7.23,6.95,7.12,28241100
2161,04/01/2017,7.04,7.2,6.95,7.15,30748400
2401,03/01/2017,6.53,7.0,6.46,6.89,64447600
2641,30/12/2016,8.72,8.8,8.7,8.73,11250400
2881,29/12/2016,8.79,8.82,8.69,8.72,7210600
3121,28/12/2016,8.93,8.96,8.73,8.76,6959000
3361,27/12/2016,8.95,9.02,8.89,8.94,5072400
3601,23/12/2016,8.99,9.01,8.92,8.95,5952600
3841,22/12/2016,9.08,9.14,8.99,9.01,9716200
4081,21/12/2016,9.07,9.18,9.07,9.09,7374900
4321,20/12/2016,9.17,9.27,9.15,9.23,14022500
4561,19/12/2016,9.14,9.2,9.11,9.13,8007100
4800,16/12/2016,9.04,9.14,9.02,9.13,29351200
5036,15/12/2016,8.99,9.11,8.95,9.03,14176200
5271,14/12/2016,9.28,9.4,8.98,9.0,21696400
5505,13/12/2016,9.24,9.4,9.24,9.3,20495900
5738,12/12/2016,9.41,9.46,9.21,9.3,10606400
5970,09/12/2016,9.52,9.53,9.44,9.46,10839200
6199,08/12/2016,9.48,9.64,9.44,9.52,18910800
6427,07/12/2016,9.32,9.77,9.32,9.48,27014100
6654,06/12/2016,9.34,9.39,9.2,9.3,25803400
6880,05/12/2016,9.55,9.58,9.3,9.32,12412500
7105,02/12/2016,9.45,9.55,9.44,9.5,10333600
7327,01/12/2016,9.39,9.47,9.34,9.45,11388900
7548,30/11/2016,9.5,9.53,9.28,9.35,11754800
7768,29/11/2016,9.5,9.54,9.38,9.46,6488000
7988,28/11/2016,9.4,9.54,9.37,9.5,8524800
8208,25/11/2016,9.31,9.41,9.29,9.38,3714000
8428,23/11/2016,9.32,9.34,9.22,9.27,9772600
8648,22/11/2016,9.51,9.52,9.29,9.31,10119100
8868,21/11/2016,9.54,9.57,9.46,9.52,7328200
9088,18/11/2016,9.57,9.58,9.43,9.44,6092000
9306,17/11/2016,9.56,9.61,9.5,9.58,9672700
9523,16/11/2016,9.58,9.6,9.53,9.55,6660000
9739,15/11/2016,9.54,9.64,9.47,9.59,6565700
9954,14/11/2016,9.41,9.57,9.41,9.52,9503000
10168,11/11/2016,9.56,9.6,9.45,9.5,8854300
10379,10/11/2016,9.52,9.7,9.51,9.58,8611300
10589,09/11/2016,9.14,9.53,9.09,9.51,10605100
10798,08/11/2016,9.3,9.33,9.1,9.28,9878300
11006,07/11/2016,9.12,9.31,9.11,9.31,9615200
11213,04/11/2016,9.35,9.37,9.15,9.17,10209900
11417,03/11/2016,9.51,9.58,9.34,9.35,5299000
11620,02/11/2016,9.45,9.54,9.42,9.51,7621500
11822,01/11/2016,9.78,9.78,9.44,9.5,7714500
12023,31/10/2016,9.81,9.84,9.58,9.77,9021900
12223,28/10/2016,9.53,9.99,9.52,9.84,13064400
12423,27/10/2016,9.68,9.68,9.49,9.57,6779700
12623,26/10/2016,9.59,9.66,9.57,9.65,4594500
12823,25/10/2016,9.68,9.69,9.48,9.61,7503900
13023,24/10/2016,9.59,9.7,9.56,9.68,4773300
13223,21/10/2016,9.58,9.58,9.47,9.5,5325800
13423,20/10/2016,9.71,9.73,9.59,9.62,4376400
13623,19/10/2016,9.72,9.79,9.7,9.71,3886400
13822,18/10/2016,9.67,9.75,9.65,9.71,4495300
14020,17/10/2016,9.66,9.71,9.57,9.57,4955100
14217,14/10/2016,9.6,9.71,9.58,9.65,5945000
14411,13/10/2016,9.73,9.74,9.52,9.55,8542000
14604,12/10/2016,9.76,9.83,9.67,9.8,5401700
14796,11/10/2016,9.94,9.96,9.69,9.76,7592800
14987,10/10/2016,9.94,10.01,9.93,9.96,4764900
15177,07/10/2016,10.03,10.07,9.9,9.9,5154700
15364,06/10/2016,9.96,10.04,9.94,10.01,5517600
15550,05/10/2016,9.89,10.03,9.88,9.97,4342900
15735,04/10/2016,10.12,10.12,9.81,9.84,6133300
15919,03/10/2016,10.18,10.18,10.06,10.12,5598600
16102,30/09/2016,10.18,10.2,10.02,10.13,7677400
16282,29/09/2016,10.09,10.31,10.03,10.18,13273400
16462,28/09/2016,9.99,10.09,9.97,10.08,7962200
16642,27/09/2016,9.92,10.05,9.92,10.03,10406700
16822,26/09/2016,9.89,10.03,9.85,9.98,9877500
17002,23/09/2016,9.99,10.02,9.92,9.92,3986300
17182,22/09/2016,9.96,10.02,9.95,10.01,5226400
17362,21/09/2016,9.88,9.97,9.85,9.94,6237800
17542,20/09/2016,9.93,9.93,9.81,9.81,4681900
17722,19/09/2016,9.86,9.94,9.83,9.85,8572600
17901,16/09/2016,9.77,9.8,9.64,9.8,24655500
18077,15/09/2016,9.72,9.83,9.68,9.81,9124700
18252,14/09/2016,9.79,9.82,9.62,9.73,8403100
18426,13/09/2016,9.81,9.9,9.73,9.79,9993500
18599,12/09/2016,9.51,9.83,9.46,9.81,8066600
18771,09/09/2016,9.83,9.86,9.59,9.59,8307100
18940,08/09/2016,9.85,9.91,9.81,9.9,8363900
19108,07/09/2016,9.78,9.88,9.76,9.88,6301200
19275,06/09/2016,9.87,9.89,9.67,9.8,5700900
19441,02/09/2016,9.9,9.91,9.83,9.89,6001700
19603,01/09/2016,9.88,9.91,9.72,9.87,7039900
19764,31/08/2016,9.79,9.86,9.75,9.85,7390500
19924,30/08/2016,9.69,9.82,9.68,9.81,5964500
20084,29/08/2016,9.73,9.77,9.67,9.69,3854500
20244,26/08/2016,9.74,9.84,9.65,9.73,5171200
20404,25/08/2016,9.66,9.73,9.61,9.72,6086900
20564,24/08/2016,9.76,9.79,9.64,9.68,4067800
20724,23/08/2016,9.78,9.82,9.72,9.76,4521600
20884,22/08/2016,9.66,9.71,9.59,9.71,4510600
21044,19/08/2016,9.65,9.71,9.61,9.69,4065500
21203,18/08/2016,9.72,9.76,9.67,9.7,5518300
21361,17/08/2016,9.79,9.81,9.64,9.68,5626200
21518,16/08/2016,9.83,9.86,9.78,9.79,4062600
21674,15/08/2016,9.78,9.88,9.78,9.84,3578200
21829,12/08/2016,9.9,9.95,9.76,9.77,4985400
21981,11/08/2016,9.92,9.96,9.86,9.9,4448400
22132,10/08/2016,9.97,10.02,9.83,9.87,3654100
22282,09/08/2016,10.01,10.04,9.93,9.94,3265200
22431,08/08/2016,10.02,10.06,9.97,9.99,4253700
22579,05/08/2016,9.9,10.02,9.88,10.0,4108900
22724,04/08/2016,9.95,10.0,9.8,9.84,4792100
22868,03/08/2016,9.8,9.94,9.77,9.94,4935600
23011,02/08/2016,10.11,10.15,9.74,9.81,10893900
23153,01/08/2016,10.33,10.35,9.97,10.14,14923700
23294,29/07/2016,10.2,10.32,10.07,10.3,21482400
23434,28/07/2016,9.98,10.04,9.9,9.91,5649400
23574,27/07/2016,9.94,10.03,9.88,10.0,4363500
23714,26/07/2016,9.92,10.0,9.87,9.95,4187000
23854,25/07/2016,9.79,9.9,9.71,9.89,3843000
23994,22/07/2016,9.79,9.82,9.7,9.79,2244600
24134,21/07/2016,9.82,9.89,9.73,9.77,3074500
24274,20/07/2016,9.64,9.82,9.6,9.81,5118000
